field_id,year,month,mean_temp,total_precip,temp_mean,temp_std,precip_mean,precip_std,temp_deviation,precip_deviation,temp_anomaly,precip_anomaly
osm-1153259427,2020,1,7.4154838709677415,141.19,5.871806451612903,1.8468121928757188,134.198,28.855141136372918,0.8358605305454144,0.24231383818068833,False,False
osm-1153259427,2020,2,8.235517241379311,158.42000000000002,8.156512315270936,1.8815470732678814,95.598,47.58336022182545,0.04198934336049269,1.320251443091338,False,False
osm-1153259427,2020,3,13.63516129032258,85.03999999999999,12.366,0.8287641903742093,106.022,32.82004524676955,1.5313901168310857,-0.6393044202784959,False,False
osm-1153259427,2020,4,15.246999999999998,135.41,15.789333333333332,0.6572008402645604,100.47,59.229597331064134,-0.825217041893942,0.5899077754100318,False,False
osm-1153259427,2020,5,18.690645161290323,211.93,20.294709677419355,1.5856989746775536,114.46399999999998,67.9691152656852,-1.0115819848185328,1.4339748225207012,False,False
osm-1153259427,2020,6,23.696,74.43,24.849733333333333,1.4733593210377727,81.92,38.79317401296264,-0.7830631108511195,-0.19307520435160141,False,False
osm-1153259427,2020,7,27.343870967741935,90.35,27.469935483870966,0.3807435220099605,124.68800000000002,47.83937102429337,-0.331100882461587,-0.7177769954910737,False,False
osm-1153259427,2020,8,26.315161290322582,149.57999999999998,26.285741935483873,0.7994856371937415,125.388,40.23181974507243,0.03679785285696036,0.6013150822729812,False,False
osm-1153259427,2020,9,21.587,136.77,22.625466666666664,0.6490889170385069,116.91199999999999,71.95761439903355,-1.59988352813773,0.27596801486329886,False,False
osm-1153259427,2020,10,17.925483870967742,77.15,17.202709677419357,1.4665949719177855,35.118,25.480752932360534,0.4928246771521748,1.6495587909656861,False,False
osm-1153259427,2020,11,12.786666666666667,129.7,11.609933333333334,1.4018774791923392,77.832,48.05109072643408,0.8393981291512593,1.0794343940139977,False,False
osm-1153259427,2020,12,5.354838709677419,91.82,7.143032258064517,2.3053451395135776,102.63399999999999,42.42467065281709,-0.7756728126029766,-0.2548988556327642,False,False
osm-1153259427,2021,1,4.9793548387096775,110.53,5.871806451612903,1.8468121928757188,134.198,28.855141136372918,-0.4832389651454304,-0.8202351147111757,False,False
osm-1153259427,2021,2,5.616071428571429,129.29,8.156512315270936,1.8815470732678814,95.598,47.58336022182545,-1.3501872596188917,0.7080626471719037,False,False
osm-1153259427,2021,3,11.95032258064516,90.98,12.366,0.8287641903742093,106.022,32.82004524676955,-0.501562958659145,-0.45831746686822655,False,False
