mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
2433099,"Enon fine sandy loam, 6 to 10 percent slopes",Enon,85.0,Well drained,7.0,20.0,0.75,5.8,0.13,12.5,70.9,16.6,1.55,7.9,osm-260949778
2433032,"Mecklenburg sandy clay loam, 6 to 10 percent slopes, moderately eroded",Mecklenburg,85.0,Well drained,15.0,86.0,0.25,6.5,0.13,50.0,22.1,27.9,1.5,25.0,osm-260949778
2433038,"Wehadkee loam, 0 to 2 percent slopes, frequently flooded",Wehadkee,85.0,Poorly drained,20.0,109.0,0.5,5.5,0.18,26.5,55.8,17.7,1.4,15.0,osm-260949778
2433087,"Coronaca clay loam, 6 to 10 percent slopes",Coronaca,85.0,Well drained,20.0,180.0,0.25,6.5,0.11,52.5,18.2,29.3,1.35,5.8,osm-260949778
2433099,"Enon fine sandy loam, 6 to 10 percent slopes",Enon,85.0,Well drained,20.0,28.0,0.25,5.8,0.14,27.5,55.1,17.4,1.4,14.3,osm-260949778
2433099,"Enon fine sandy loam, 6 to 10 percent slopes",Enon,85.0,Well drained,28.0,84.0,0.25,6.4,0.14,50.0,22.1,27.9,1.3,25.6,osm-260949778
2433065,"Cecil sandy loam, 10 to 15 percent slopes",Cecil,80.0,Well drained,0.0,20.0,0.75,6.2,0.13,12.5,67.9,19.6,1.4,2.9,osm-260949778
2433171,"Iredell fine sandy loam, 0 to 4 percent slopes",Iredell,80.0,Moderately well drained,0.0,15.0,1.25,6.2,0.14,15.0,65.4,19.6,1.5,10.0,osm-260949778
2433171,"Iredell fine sandy loam, 0 to 4 percent slopes",Iredell,80.0,Moderately well drained,15.0,58.0,0.1,6.5,0.19,50.0,22.1,27.9,1.33,28.0,osm-260949778
2433065,"Cecil sandy loam, 10 to 15 percent slopes",Cecil,80.0,Well drained,20.0,107.0,0.25,5.0,0.14,52.5,37.0,10.5,1.4,5.8,osm-260949778
2433038,"Wehadkee loam, 0 to 2 percent slopes, frequently flooded",Wehadkee,10.0,Poorly drained,0.0,20.0,3.5,5.7,0.13,16.0,43.8,40.2,1.48,12.5,osm-260949778
2433038,"Wehadkee loam, 0 to 2 percent slopes, frequently flooded",Wehadkee,10.0,Poorly drained,20.0,109.0,0.5,5.7,0.18,26.5,55.8,17.7,1.4,15.0,osm-260949778
112829,"Chewacla loam, 0 to 2 percent slopes, frequently flooded",Riverview,5.0,Well drained,0.0,46.0,1.25,5.5,0.22,19.0,43.0,38.0,1.44,,osm-260949778
112829,"Chewacla loam, 0 to 2 percent slopes, frequently flooded",Wehadkee,5.0,Poorly drained,0.0,20.0,3.5,5.5,0.2,18.0,47.0,35.0,1.34,,osm-260949778
3050323,"Chewacla loam, 0 to 2 percent slopes, frequently flooded",Riverview,5.0,Well drained,0.0,46.0,1.25,5.5,0.22,19.0,43.0,38.0,1.44,,osm-260949778
3050323,"Chewacla loam, 0 to 2 percent slopes, frequently flooded",Wehadkee,5.0,Poorly drained,0.0,20.0,3.5,5.5,0.2,18.0,47.0,35.0,1.34,,osm-260949778
3050360,"Iredell loam, 2 to 6 percent slopes",Pittsboro,5.0,Moderately well drained,0.0,23.0,1.25,6.3,0.08,10.0,65.0,25.0,1.51,5.4,osm-260949778
112829,"Chewacla loam, 0 to 2 percent slopes, frequently flooded",Wehadkee,5.0,Poorly drained,20.0,109.0,0.5,5.5,0.12,25.0,50.0,25.0,1.44,,osm-260949778
3050323,"Chewacla loam, 0 to 2 percent slopes, frequently flooded",Wehadkee,5.0,Poorly drained,20.0,109.0,0.5,5.5,0.12,25.0,50.0,25.0,1.44,,osm-260949778
3050360,"Iredell loam, 2 to 6 percent slopes",Pittsboro,5.0,Moderately well drained,23.0,41.0,0.75,6.3,0.17,24.0,42.0,34.0,1.47,12.8,osm-260949778
2433097,"Enon fine sandy loam, 2 to 6 percent slopes",Iredell,4.0,Moderately well drained,0.0,15.0,1.25,6.2,0.16,25.0,38.5,36.5,1.3,15.3,osm-260949778
2433099,"Enon fine sandy loam, 6 to 10 percent slopes",Wynott,4.0,Well drained,0.0,5.0,1.25,5.5,0.18,17.0,43.3,39.7,1.5,8.8,osm-260949778
3050360,"Iredell loam, 2 to 6 percent slopes",Enon,4.0,Well drained,0.0,23.0,1.0,5.0,0.15,9.0,60.0,31.0,1.53,,osm-260949778
3050360,"Iredell loam, 2 to 6 percent slopes",Sedgefield,4.0,Moderately well drained,0.0,33.0,1.25,5.3,0.16,9.0,60.0,31.0,1.6,,osm-260949778
2433099,"Enon fine sandy loam, 6 to 10 percent slopes",Wynott,4.0,Well drained,5.0,25.0,0.75,5.5,0.18,17.0,43.3,39.7,1.5,7.6,osm-260949778
2433097,"Enon fine sandy loam, 2 to 6 percent slopes",Iredell,4.0,Moderately well drained,15.0,64.0,0.25,6.4,0.19,50.0,22.1,27.9,1.33,25.6,osm-260949778
3050360,"Iredell loam, 2 to 6 percent slopes",Enon,4.0,Well drained,23.0,86.0,0.2,5.8,0.14,54.0,30.0,16.0,1.4,27.9,osm-260949778
2433099,"Enon fine sandy loam, 6 to 10 percent slopes",Wynott,4.0,Well drained,25.0,51.0,0.25,6.3,0.09,50.0,22.1,27.9,1.35,18.1,osm-260949778
2433038,"Wehadkee loam, 0 to 2 percent slopes, frequently flooded",Chewacla,3.0,Somewhat poorly drained,0.0,10.0,2.5,6.0,0.2,22.5,39.8,37.7,1.45,11.2,osm-260949778
2433097,"Enon fine sandy loam, 2 to 6 percent slopes",Wynott,3.0,Well drained,0.0,5.0,1.25,5.5,0.18,17.0,43.3,39.7,1.5,8.8,osm-260949778
2433099,"Enon fine sandy loam, 6 to 10 percent slopes",Wedowee,3.0,Well drained,0.0,10.0,1.25,5.1,0.13,12.5,67.9,19.6,1.53,4.1,osm-260949778
2433097,"Enon fine sandy loam, 2 to 6 percent slopes",Wynott,3.0,Well drained,5.0,25.0,0.75,5.5,0.18,17.0,43.3,39.7,1.5,7.6,osm-260949778
2433038,"Wehadkee loam, 0 to 2 percent slopes, frequently flooded",Chewacla,3.0,Somewhat poorly drained,10.0,66.0,1.25,5.5,0.2,30.0,17.4,52.6,1.4,9.4,osm-260949778
2433099,"Enon fine sandy loam, 6 to 10 percent slopes",Wedowee,3.0,Well drained,10.0,18.0,0.5,5.1,0.13,12.5,67.9,19.6,1.53,2.4,osm-260949778
2433099,"Enon fine sandy loam, 6 to 10 percent slopes",Wedowee,3.0,Well drained,18.0,58.0,0.25,5.1,0.16,47.0,40.0,13.0,1.35,5.3,osm-260949778
2433097,"Enon fine sandy loam, 2 to 6 percent slopes",Wynott,3.0,Well drained,25.0,51.0,0.25,6.3,0.09,50.0,22.1,27.9,1.35,18.1,osm-260949778
2433038,"Wehadkee loam, 0 to 2 percent slopes, frequently flooded",Riverview,2.0,Well drained,0.0,46.0,1.25,5.5,0.2,18.5,43.0,38.5,1.45,7.5,osm-260949778
2433097,"Enon fine sandy loam, 2 to 6 percent slopes",Picture,1.0,Poorly drained,0.0,18.0,3.5,6.2,0.2,17.0,43.3,39.7,1.35,16.4,osm-260949778
2433099,"Enon fine sandy loam, 6 to 10 percent slopes",Cecil,1.0,Well drained,0.0,20.0,0.75,6.2,0.13,12.5,67.9,19.6,1.4,2.9,osm-260949778
